NAME,COUNTY,ELEV_IN_M
Brownsville,Fayette,243
Connellsville,Fayette,280
Dawson,Fayette,260
Dunbar,Fayette,317
Everson,Fayette,326
Berlin,Camden,50
Brooklawn,Camden,5
Camden,Camden,2
Chesilhurst,Camden,51
Pine Hill,Camden,49
Pine Valley,Camden,51
Runnemede,Camden,35
Somerdale,Camden,20
Laurel Springs,Camden,25
Lawnside,Camden,26
Oaklyn,Camden,7
Stratford,Camden,24
Tavistock,Camden,18
Woodlynne,Camden,7
Eaton,Preble,317
Clayton,Gloucester,39
Pitman,Gloucester,38
Newfield,Gloucester,35
Paulsboro,Gloucester,3
Swedesboro,Gloucester,12
Wenonah,Gloucester,24
Westville,Gloucester,5
Woodbury,Gloucester,18
Woodbury Heights,Gloucester,21
Salem,Salem,3
Penns Grove,Salem,3
Woodstown,Salem,13
Linwood,Atlantic,7
Brigantine,Atlantic,2
Buena,Atlantic,32
Pleasantville,Atlantic,6
Port Republic,Atlantic,5
Somers Point,Atlantic,9
Northfield,Atlantic,8
Ventnor City,Atlantic,2
Highfield,Washington,414
Concordia,Cloud,420
Holton,Jackson,332
Atchison,Atchison,248
Belpre,Washington,187
Marietta,Washington,187
Lebanon,Warren,235
Fairton,Cumberland,8
Bridgeton,Cumberland,3
Shiloh,Cumberland,34
Millville,Cumberland,12
Vineland,Cumberland,33
Goodland,Sherman,1122
Colby,Thomas,963
Clay Center,Clay,366
Webster,Day,566
Bristol,Day,546
Butler,Day,557
Andover,Day,451
Grenville,Day,568
Lily,Day,567
Tomahawk,Lincoln,442
Merrill,Lincoln,386
Timber Lake,Dewey,661
Isabel,Dewey,731
Antigo,Langlade,456
White Lake,Langlade,391
Algoma,Kewaunee,178
Stetsonville,Taylor,443
Gilman,Taylor,374
Lublin,Taylor,392
Medford,Taylor,448
Rib Lake,Taylor,478
Suring,Oconto,244
Gillett,Oconto,247
Oconto,Oconto,178
Oconto Falls,Oconto,226
Dixfield,Oxford,133
Fryeburg,Oxford,131
Mexico,Oxford,146
Norway,Oxford,118
Oxford,Oxford,100
Rumford,Oxford,147
South Paris,Oxford,118
Revillo,Grant,366
Stockholm,Grant,508
Strandburg,Grant,512
Twin Brooks,Grant,383
Beloit,Mitchell,422
Manhattan,Riley,312
Lansing,Leavenworth,259
Leavenworth,Leavenworth,256
Baltimore,Baltimore (city),10
Fairland,Montgomery,126
Cape May,Cape May,2
Cape May Point,Cape May,3
Sea Isle City,Cape May,2
North Wildwood,Cape May,1
Ocean City,Cape May,3
Stone Harbor,Cape May,3
Hamburg,Fremont,280
Tabor,Fremont,382
Bloomfield,Davis,266
Mount Ayr,Ringgold,371
Lamoni,Decatur,344
Leon,Decatur,343
Centerville,Appanoose,307
Herndon,Snyder,142
Rochester,Beaver,240
Aliquippa,Beaver,227
Ambridge,Beaver,238
Baden,Beaver,240
Beaver,Beaver,242
Beaver Falls,Beaver,243
Bridgewater,Beaver,244
Conway,Beaver,227
Darlington,Beaver,278
East Rochester,Beaver,260
Eastvale,Beaver,239
Economy,Beaver,242
Fallston,Beaver,306
Frankfort Springs,Beaver,355
Freedom,Beaver,236
Georgetown,Beaver,229
Glasgow,Beaver,208
Monaca,Beaver,226
New Brighton,Beaver,225
New Galilee,Beaver,297
Ohioville,Beaver,341
Patterson Heights,Beaver,326
Shippingport,Beaver,238
South Heights,Beaver,237
West Mayfield,Beaver,334
Secaucus,Hudson,4
Union City,Hudson,53
West New York,Hudson,53
Keokuk,Lee,174
Bloomsbury,Hunterdon,95
Califon,Hunterdon,146
Lambertville,Hunterdon,22
Lebanon,Hunterdon,81
Milford,Hunterdon,43
Stockton,Hunterdon,36
Alburtis,Lehigh,138
Allentown,Lehigh,104
Catasauqua,Lehigh,98
Coopersburg,Lehigh,144
Coplay,Lehigh,124
Emmaus,Lehigh,138
Fountain Hill,Lehigh,114
Macungie,Lehigh,118
Slatington,Lehigh,152
Bernardsville,Somerset,121
Bound Brook,Somerset,14
Raritan,Somerset,21
Rocky Hill,Somerset,26
Somerville,Somerset,18
South Bound Brook,Somerset,16
Millstone,Somerset,14
North Plainfield,Somerset,35
Peapack and Gladstone,Somerset,74
Watchung,Somerset,54
West Cape May,Cape May,2
Alexandria,Huntingdon,214
West Wildwood,Cape May,0
Birmingham,Huntingdon,297
Wildwood,Cape May,0
Broad Top City,Huntingdon,602
Wildwood Crest,Cape May,2
Cassville,Huntingdon,377
Woodbine,Cape May,12
Coalmont,Huntingdon,336
Madeira,Hamilton,233
Dudley,Huntingdon,467
Mariemont,Hamilton,178
Huntingdon,Huntingdon,193
Mount Healthy,Hamilton,255
Mapleton,Huntingdon,181
Newtown,Hamilton,152
Marklesburg,Huntingdon,271
North College Hill,Hamilton,251
Mill Creek,Huntingdon,209
Norwood,Hamilton,199
Mount Union,Huntingdon,186
Reading,Hamilton,171
Orbisonia,Huntingdon,196
Saint Bernard,Hamilton,173
Petersburg,Huntingdon,224
Ashville,Cambria,502
Sharonville,Hamilton,179
Rockhill,Huntingdon,191
Brownstown,Cambria,462
Silverton,Hamilton,260
Saltillo,Huntingdon,240
Carrolltown,Cambria,662
Springdale,Hamilton,225
Shade Gap,Huntingdon,304
Cassandra,Cambria,548
Terrace Park,Hamilton,173
Shirleysburg,Huntingdon,182
Chest Springs,Cambria,606
The Village of Indian Hill,Hamilton,233
Three Springs,Huntingdon,225
Cresson,Cambria,614
Woodlawn,Hamilton,179
Altoona,Blair,354
Daisytown,Cambria,548
Wyoming,Hamilton,176
Bellwood,Blair,322
