Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1,01:40.9,David Rudisha,KEN,17/12/1988,1,London,08/09/2012,Men,800 m
2,01:41.0,David Rudisha,KEN,17/12/1988,1,Rieti,29/08/2010,Men,800 m
3,01:41.1,David Rudisha,KEN,17/12/1988,1,Berlin,22/08/2010,Men,800 m
4,01:41.1,Wilson Kipketer,DEN,12/12/1970,1,Köln,24/08/1997,Men,800 m
5,01:41.2,Wilson Kipketer,DEN,12/12/1970,1,Zürich,13/08/1997,Men,800 m
6,01:41.3,David Rudisha,KEN,17/12/1988,1,Rieti,09/10/2011,Men,800 m
7,01:41.5,David Rudisha,KEN,17/12/1988,1,Heusden-Zolder,07/10/2010,Men,800 m
8,01:41.5,David Rudisha,KEN,17/12/1988,1,Saint-Denis,07/06/2012,Men,800 m
9,01:41.7,Sebastian Coe,GBR,29/09/1956,1,Firenze,06/10/1981,Men,800 m
9,01:41.7,Wilson Kipketer,DEN,12/12/1970,1,Stockholm,07/07/1997,Men,800 m
9,01:41.7,Nijel Amos,BOT,15/03/1994,2,London,08/09/2012,Men,800 m
1,00:47.6,Marita Koch,GDR,18/02/1957,1,Canberra,10/06/1985,Women,400 m
2,00:48.0,Jarmila Kratochvílová,CZE,26/01/1951,1,Helsinki,08/10/1983,Women,400 m
3,00:48.2,Marita Koch,GDR,18/02/1957,1,Athínai,09/08/1982,Women,400 m
3,00:48.2,Marita Koch,GDR,18/02/1957,1,Praha,17/08/1984,Women,400 m
5,00:48.2,Marita Koch,GDR,18/02/1957,1,Stuttgart,28/08/1986,Women,400 m
6,00:48.3,Marie-José Pérec,FRA,09/05/1968,1,Atlanta,29/07/1996,Women,400 m
7,00:48.3,Marita Koch,GDR,18/02/1957,1,Dresden,27/07/1984,Women,400 m
8,00:48.3,Olga Bryzgina,UKR,30/06/1963,2,Canberra,10/06/1985,Women,400 m
9,00:48.5,Jarmila Kratochvílová,CZE,26/01/1951,1,Praha,23/07/1983,Women,400 m
10,00:48.6,Tatána Kocembová,CZE,02/05/1962,2,Helsinki,08/10/1983,Women,400 m
11,00:48.6,Marita Koch,GDR,18/02/1957,1,Torino,08/04/1979,Women,400 m
11,00:48.6,Olga Bryzgina,UKR,30/06/1963,1,Moskva,17/08/1985,Women,400 m
1,26:17.5,Kenenisa Bekele,ETH,13/06/1982,1,Bruxelles,26/08/2005,Men,"10,000 m"
2,26:20.3,Kenenisa Bekele,ETH,13/06/1982,1,Ostrava,08/06/2004,Men,"10,000 m"
3,26:22.7,Haile Gebrselassie,ETH,18/04/1973,1,Hengelo,01/06/1998,Men,"10,000 m"
4,26:26.0,Kenenisa Bekele,ETH,13/06/1982,1,Eugene,08/06/2008,Men,"10,000 m"
5,26:27.9,Paul Tergat,KEN,17/06/1969,1,Bruxelles,22/08/1997,Men,"10,000 m"
6,26:28.7,Kenenisa Bekele,ETH,13/06/1982,1,Hengelo,29/05/2005,Men,"10,000 m"
7,26:29.2,Haile Gebrselassie,ETH,18/04/1973,1,Bruxelles,05/09/2003,Men,"10,000 m"
8,26:30.0,Nicholas Kemboi,KEN,25/11/1983,2,Bruxelles,05/09/2003,Men,"10,000 m"
9,26:30.7,Abebe Dinkesa Negera,ETH,06/03/1984,2,Hengelo,29/05/2005,Men,"10,000 m"
10,26:31.3,Haile Gebrselassie,ETH,18/04/1973,1,Oslo,04/07/1997,Men,"10,000 m"
