NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Brownsville,Fayette,243,797
Connellsville,Fayette,280,919
Dawson,Fayette,260,853
Dunbar,Fayette,317,1040
Everson,Fayette,326,1070
Berlin,Camden,50,164
Brooklawn,Camden,5,16
Camden,Camden,2,7
Chesilhurst,Camden,51,167
Pine Hill,Camden,49,161
Pine Valley,Camden,51,167
Runnemede,Camden,35,115
Somerdale,Camden,20,66
Laurel Springs,Camden,25,82
Lawnside,Camden,26,85
Oaklyn,Camden,7,23
Stratford,Camden,24,79
Tavistock,Camden,18,59
Woodlynne,Camden,7,23
Eaton,Preble,317,1040
Clayton,Gloucester,39,128
Pitman,Gloucester,38,125
Newfield,Gloucester,35,115
Paulsboro,Gloucester,3,10
Swedesboro,Gloucester,12,39
Wenonah,Gloucester,24,79
Westville,Gloucester,5,16
Woodbury,Gloucester,18,59
Woodbury Heights,Gloucester,21,69
Salem,Salem,3,10
Penns Grove,Salem,3,10
Woodstown,Salem,13,43
Linwood,Atlantic,7,23
Brigantine,Atlantic,2,7
Buena,Atlantic,32,105
Pleasantville,Atlantic,6,20
Port Republic,Atlantic,5,16
Somers Point,Atlantic,9,30
Northfield,Atlantic,8,26
Ventnor City,Atlantic,2,7
Highfield,Washington,414,1358
Concordia,Cloud,420,1378
Holton,Jackson,332,1089
Atchison,Atchison,248,814
Belpre,Washington,187,614
Marietta,Washington,187,614
Lebanon,Warren,235,771
Fairton,Cumberland,8,26
Bridgeton,Cumberland,3,10
Shiloh,Cumberland,34,112
Millville,Cumberland,12,39
Vineland,Cumberland,33,108
Goodland,Sherman,1122,3681
Colby,Thomas,963,3159
Clay Center,Clay,366,1201
Webster,Day,566,1857
Bristol,Day,546,1791
Butler,Day,557,1827
Andover,Day,451,1480
Grenville,Day,568,1863
Lily,Day,567,1860
Tomahawk,Lincoln,442,1450
Merrill,Lincoln,386,1266
Timber Lake,Dewey,661,2169
Isabel,Dewey,731,2398
Antigo,Langlade,456,1496
White Lake,Langlade,391,1283
Algoma,Kewaunee,178,584
Stetsonville,Taylor,443,1453
Gilman,Taylor,374,1227
Lublin,Taylor,392,1286
Medford,Taylor,448,1470
Rib Lake,Taylor,478,1568
Suring,Oconto,244,801
Gillett,Oconto,247,810
Oconto,Oconto,178,584
Oconto Falls,Oconto,226,741
Dixfield,Oxford,133,436
Fryeburg,Oxford,131,430
Mexico,Oxford,146,479
Norway,Oxford,118,387
Oxford,Oxford,100,328
Rumford,Oxford,147,482
South Paris,Oxford,118,387
Revillo,Grant,366,1201
Stockholm,Grant,508,1667
Strandburg,Grant,512,1680
Twin Brooks,Grant,383,1257
Beloit,Mitchell,422,1384
Manhattan,Riley,312,1024
Lansing,Leavenworth,259,850
Leavenworth,Leavenworth,256,840
Baltimore,Baltimore (city),10,33
Fairland,Montgomery,126,413
Cape May,Cape May,2,7
Cape May Point,Cape May,3,10
Sea Isle City,Cape May,2,7
North Wildwood,Cape May,1,3
Ocean City,Cape May,3,10
Stone Harbor,Cape May,3,10
Hamburg,Fremont,280,919
Tabor,Fremont,382,1253
Bloomfield,Davis,266,873
Mount Ayr,Ringgold,371,1217
Lamoni,Decatur,344,1129
Leon,Decatur,343,1125
Centerville,Appanoose,307,1007
Herndon,Snyder,142,466
Rochester,Beaver,240,787
Aliquippa,Beaver,227,745
Ambridge,Beaver,238,781
Baden,Beaver,240,787
Beaver,Beaver,242,794
Beaver Falls,Beaver,243,797
Bridgewater,Beaver,244,801
Conway,Beaver,227,745
Darlington,Beaver,278,912
East Rochester,Beaver,260,853
Eastvale,Beaver,239,784
Economy,Beaver,242,794
Fallston,Beaver,306,1004
Frankfort Springs,Beaver,355,1165
Freedom,Beaver,236,774
Georgetown,Beaver,229,751
Glasgow,Beaver,208,682
Monaca,Beaver,226,741
New Brighton,Beaver,225,738
New Galilee,Beaver,297,974
Ohioville,Beaver,341,1119
Patterson Heights,Beaver,326,1070
Shippingport,Beaver,238,781
South Heights,Beaver,237,778
West Mayfield,Beaver,334,1096
Secaucus,Hudson,4,13
Union City,Hudson,53,174
West New York,Hudson,53,174
Keokuk,Lee,174,571
Bloomsbury,Hunterdon,95,312
Califon,Hunterdon,146,479
Lambertville,Hunterdon,22,72
Lebanon,Hunterdon,81,266
Milford,Hunterdon,43,141
Stockton,Hunterdon,36,118
Alburtis,Lehigh,138,453
Allentown,Lehigh,104,341
Catasauqua,Lehigh,98,322
Coopersburg,Lehigh,144,472
Coplay,Lehigh,124,407
Emmaus,Lehigh,138,453
Fountain Hill,Lehigh,114,374
Macungie,Lehigh,118,387
Slatington,Lehigh,152,499
Bernardsville,Somerset,121,397
Bound Brook,Somerset,14,46
Raritan,Somerset,21,69
Rocky Hill,Somerset,26,85
Somerville,Somerset,18,59
South Bound Brook,Somerset,16,52
Millstone,Somerset,14,46
North Plainfield,Somerset,35,115
Peapack and Gladstone,Somerset,74,243
Watchung,Somerset,54,177
West Cape May,Cape May,2,7
Alexandria,Huntingdon,214,702
West Wildwood,Cape May,0,0
Birmingham,Huntingdon,297,974
Wildwood,Cape May,0,0
Broad Top City,Huntingdon,602,1975
Wildwood Crest,Cape May,2,7
Cassville,Huntingdon,377,1237
Woodbine,Cape May,12,39
Coalmont,Huntingdon,336,1102
Madeira,Hamilton,233,764
Dudley,Huntingdon,467,1532
Mariemont,Hamilton,178,584
Huntingdon,Huntingdon,193,633
Mount Healthy,Hamilton,255,837
